AMENITY_LEMMA,AMENITY_CODE,HUMAN_LABEL
balmain,A1745,remove
balmainua,A4648,remove
balmainuae,A4647,remove
balmuda,A3202,remove
banana,A3306,remove
band,A1445,remove
bar,A133,remove
barbara,A4098,remove
barbecue,A205,bbq
barbeque,A776,bbq
barber,A2309,remove
barbershop,A1572,remove
barcleanse,A4782,remove
barlow,A1117,remove
barn,A4038,remove
barnd,A3780,remove
barr,A1129,remove
barra,A2083,remove
barrel,A4606,remove
bars,A1159,remove
barsoap,A2793,bath supplies
barsubwoofer,A4815,sound system
barsurroundsubwoofer,A4905,sound system
base,A905,remove
basement,A343,basement
basics,A86,remove
basil,A4869,remove
basis,A1195,remove
basket,A2207,remove
basketball,A779,basketball court
bass,A1050,remove
batch,A416,remove
bath,A67,remove
bathing,A512,remove
bathkirkland,A4888,remove
bathrobe,A829,bathrobe
bathroom,A100,remove
bathshower,A1011,shower
bathtub,A55,bath tub
bathtubshower,A2116,remove
batonic,A2375,remove
batoueiny,A1863,remove
battery,A3402,remove
bay,A474,remove
baylis,A3115,remove
bb,A1025,remove
bbb,A1674,remove
bbq,A108,bbq
bbw,A4217,remove
bcomplex,A2467,remove
bdvew,A3070,remove
be,A180,remove
beach,A657,remove
beachfront,A138,beachfront
beachlake,A4839,remove
beam,A1941,remove
bean,A2187,remove
beansugar,A4731,remove
beard,A2571,remove
beat,A2540,remove
beatbox,A3913,remove
beaty,A2330,remove
beauty,A496,remove
beautycounter,A486,remove
bed,A76,remove
bedhead,A3914,remove
bedroom,A33,remove
bedroombath,A2838,remove
bedrrom,A1499,remove
bee,A563,remove
beekindua,A3905,remove
beekman,A1540,remove
beer,A315,remove
behringer,A3990,remove
beka,A4035,remove
believe,A400,remove
bellisimo,A1707,remove
bellisso,A1487,remove
bench,A766,remove
beneath,A1348,remove
benefit,A1564,remove
berg,A967,remove
bergamot,A979,remove
berhinger,A3837,remove
berry,A2912,remove
bert,A4357,remove
bevel,A3158,remove
beverag,A1434,remove
beverage,A2152,remove
bht,A3892,remove
bicycle,A1498,bicycle
bidet,A190,remove
bielizeu,A1879,remove
bigelow,A4107,remove
bike,A341,bicycle
billie,A3943,remove
bin,A927,remove
binxbijout,A2349,remove
bio,A1408,remove
bioderma,A3009,remove
biokeratin,A3580,remove
biolage,A896,remove
biolgage,A4794,remove
biology,A2590,remove
biorenew,A2369,remove
biosilk,A869,remove
biotene,A4995,remove
biotera,A4040,remove
bioterm,A3975,remove
biotin,A1003,remove
biovida,A1599,remove
bird,A1848,remove
bisse,A2265,remove
bistro,A1853,remove
bivy,A1546,remove
blackdecker,A4883,remove
blackstone,A4196,remove
blankets,A79,remove
blaster,A2223,remove
